rank,bigram,pmi,frequency,message_count,contains_entity_term,network_score,first_seen,last_seen,example_message_id,example_timestamp,example_text,word_1,word_2
16,khatam anbiya,13.937813,9,9,True,125.440318,2026-03-22 21:05:02+00:00,2026-04-16 14:40:01+00:00,16637,2026-03-22 21:05:02+00:00,"😂 JUST IN - Spokesperson for the Iranian Armed Forces' Central Command Ebrahim Zolfaghari: ""Hey Trump! You are fired...",khatam,anbiya
17,amanda borschel,13.937813,8,8,True,111.502505,2025-12-27 06:53:14+00:00,2026-02-21 10:03:26+00:00,6502,2025-12-27 06:53:14+00:00,The Reel Schmooze: Jack Black's mother was a rocket scientist?! Movie maven Jordan Hoffman and host Amanda Borschel-...,amanda,borschel
18,max blumenthal,13.937813,7,7,True,97.564692,2026-04-12 04:04:48+00:00,2026-04-15 11:10:03+00:00,185098,2026-04-12 04:04:48+00:00,"""ONE OF THE GREATEST PEOPLE'S UPRISINGS IN MY LIFETIME"" Max Blumenthal says Iranians' nightly presence in the street...",max,blumenthal
19,brad cooper,13.937813,5,5,True,69.689066,2026-03-28 07:17:07+00:00,2026-04-16 12:35:02+00:00,74020,2026-03-28 07:17:07+00:00,"US Forces at Saudi Air Base Suffer Iranian Attack Multiple American service members were wounded, and some aircraft ...",brad,cooper
20,gerald ford,13.885346,6,6,True,83.312074,2026-02-13 12:41:32+00:00,2026-03-24 17:27:14+00:00,6933,2026-02-13 12:41:32+00:00,"The United States Navy is deploying the USS Gerald R. Ford, the world’s largest aircraft carrier, from Venezuela to ...",gerald,ford
21,deni avdija,13.844704,5,5,True,69.223519,2026-02-01 23:52:16+00:00,2026-04-15 17:11:58+00:00,6774,2026-02-01 23:52:16+00:00,"Making history, Deni Avdija becomes first Israeli selected for NBA All-Star Game Read more: https://toi.li/tZRbi6",deni,avdija
22,yom hashoah,13.648307,5,4,True,68.241533,2026-04-13 12:44:26+00:00,2026-04-14 10:21:46+00:00,74955,2026-04-13 12:44:26+00:00,"Ambassador Mike Huckabee: “As Yom HaShoah begins this evening, we remember the six million Jewish men, women, and ch...",yom,hashoah
23,yisrael chai,13.522776,12,12,True,162.273308,2026-02-24 12:56:31+00:00,2026-03-22 20:17:23+00:00,7027,2026-02-24 12:56:31+00:00,A group of Japanese tourists landed in Israel wearing matching Israeli vests and singing “Am Yisrael Chai.” 🇮🇱,yisrael,chai
24,los angeles,13.522776,11,11,True,148.750532,2026-01-14 10:02:04+00:00,2026-04-14 18:10:00+00:00,6645,2026-01-14 10:02:04+00:00,"Starlink is giving free internet access to Iranians during the regime’s nationwide blackout, activists say, offering...",los,angeles
25,jared kushner,13.522776,6,6,True,81.136654,2026-02-17 09:55:05+00:00,2026-04-11 21:15:38+00:00,6969,2026-02-17 09:55:05+00:00,"The United States and Iran have launched a second round of negotiations over Tehran’s nuclear program, according to ...",jared,kushner
26,shehbaz sharif,13.407298,11,11,True,147.480283,2026-01-18 14:02:41+00:00,2026-04-15 15:42:09+00:00,6670,2026-01-18 14:02:41+00:00,Pakistan has received an official invitation from President Donald Trump to join the newly formed “Board of Peace fo...,shehbaz,sharif
27,petah tikva,13.407298,12,11,True,160.887581,2026-03-08 12:28:59+00:00,2026-04-06 12:25:18+00:00,7346,2026-03-08 12:28:59+00:00,"Three people were injured after Iran launched a ballistic missile toward central Israel, with first responders suspe...",petah,tikva
28,yemen's ansarullah,13.407298,6,6,True,80.44379,2026-04-13 09:01:09+00:00,2026-04-17 08:38:43+00:00,185254,2026-04-13 09:01:09+00:00,Yemen’s Ansarullah resistance movement warned that it will intensify its military operations if the US and Israeli r...,yemen's,ansarullah
29,joseph aoun,13.385272,10,10,True,133.852721,2026-04-09 15:40:07+00:00,2026-04-17 17:25:00+00:00,74802,2026-04-09 15:40:07+00:00,"Senior Israeli official: The one who will lead the direct negotiations is Israeli Ambassador to Washington, Yechiel ...",joseph,aoun
30,territorial integrity,13.385272,10,9,True,133.852721,2026-03-09 08:27:29+00:00,2026-04-17 07:03:39+00:00,7364,2026-03-09 08:27:29+00:00,"China said it opposes any targeting of Iran’s new Supreme Leader, Mojtaba Khamenei, after threats were made against ...",territorial,integrity
